07-03 09:00:54 : INFO : collecting all words and their counts
07-03 09:00:54 : INFO : PROGRESS: at sentence #0, processed 0 words, keeping 0 word types
07-03 09:10:06 : INFO : PROGRESS: at sentence #10000, processed 6746848 words, keeping 339961 word types
07-03 09:20:15 : INFO : PROGRESS: at sentence #20000, processed 13358501 words, keeping 522504 word types
07-03 09:20:49 : INFO : collected 530262 word types from a corpus of 13682655 raw words and 20494 sentences
07-03 09:20:49 : INFO : Loading a fresh vocabulary
07-03 09:20:49 : INFO : min_count=20 retains 48606 unique words (9% of original 530262, drops 481656)
07-03 09:20:49 : INFO : min_count=20 leaves 12496659 word corpus (91% of original 13682655, drops 1185996)
07-03 09:20:49 : INFO : deleting the raw counts dictionary of 530262 items
07-03 09:20:50 : INFO : sample=0.001 downsamples 15 most-common words
07-03 09:20:50 : INFO : downsampling leaves estimated 12284946 word corpus (98.3% of prior 12496659)
07-03 09:20:50 : INFO : estimated required memory for 48606 words and 300 dimensions: 140957400 bytes
07-03 09:20:50 : INFO : resetting layer weights
07-03 09:20:57 : INFO : training model with 6 workers on 48606 vocabulary and 300 features, using sg=0 hs=0 sample=0.001 negative=5 window=2
07-03 09:22:42 : INFO : EPOCH 1 - PROGRESS: at 7.66% examples, 9142 words/s, in_qsize 0, out_qsize 0
07-03 09:22:43 : INFO : EPOCH 1 - PROGRESS: at 7.79% examples, 9189 words/s, in_qsize 0, out_qsize 0
07-03 09:22:44 : INFO : EPOCH 1 - PROGRESS: at 7.93% examples, 9238 words/s, in_qsize 0, out_qsize 0
07-03 09:22:46 : INFO : EPOCH 1 - PROGRESS: at 8.07% examples, 9284 words/s, in_qsize 0, out_qsize 0
07-03 09:22:47 : INFO : EPOCH 1 - PROGRESS: at 8.20% examples, 9333 words/s, in_qsize 0, out_qsize 0
07-03 09:22:49 : INFO : EPOCH 1 - PROGRESS: at 8.28% examples, 9257 words/s, in_qsize 0, out_qsize 0
07-03 09:22:50 : INFO : EPOCH 1 - PROGRESS: at 8.34% examples, 9237 words/s, in_qsize 0, out_qsize 0
07-03 09:22:52 : INFO : EPOCH 1 - PROGRESS: at 8.48% examples, 9229 words/s, in_qsize 0, out_qsize 0
07-03 09:22:53 : INFO : EPOCH 1 - PROGRESS: at 8.55% examples, 9201 words/s, in_qsize 0, out_qsize 0
07-03 09:22:54 : INFO : EPOCH 1 - PROGRESS: at 8.62% examples, 9198 words/s, in_qsize 0, out_qsize 0
07-03 09:22:55 : INFO : EPOCH 1 - PROGRESS: at 8.69% examples, 9165 words/s, in_qsize 0, out_qsize 0
07-03 09:22:57 : INFO : EPOCH 1 - PROGRESS: at 8.82% examples, 9173 words/s, in_qsize 0, out_qsize 0
07-03 09:22:59 : INFO : EPOCH 1 - PROGRESS: at 8.95% examples, 9218 words/s, in_qsize 0, out_qsize 0
07-03 09:23:00 : INFO : EPOCH 1 - PROGRESS: at 9.08% examples, 9261 words/s, in_qsize 0, out_qsize 0
07-03 09:23:01 : INFO : EPOCH 1 - PROGRESS: at 9.22% examples, 9308 words/s, in_qsize 0, out_qsize 0
07-03 09:23:02 : INFO : EPOCH 1 - PROGRESS: at 9.35% examples, 9352 words/s, in_qsize 0, out_qsize 0
07-03 09:23:04 : INFO : EPOCH 1 - PROGRESS: at 9.49% examples, 9385 words/s, in_qsize 0, out_qsize 0
07-03 09:23:05 : INFO : EPOCH 1 - PROGRESS: at 9.63% examples, 9419 words/s, in_qsize 0, out_qsize 0
07-03 09:23:06 : INFO : EPOCH 1 - PROGRESS: at 9.76% examples, 9457 words/s, in_qsize 0, out_qsize 0
07-03 09:23:08 : INFO : EPOCH 1 - PROGRESS: at 9.89% examples, 9499 words/s, in_qsize 0, out_qsize 0
07-03 09:23:09 : INFO : EPOCH 1 - PROGRESS: at 9.96% examples, 9483 words/s, in_qsize 0, out_qsize 0
07-03 09:23:10 : INFO : EPOCH 1 - PROGRESS: at 10.03% examples, 9469 words/s, in_qsize 0, out_qsize 0
07-03 09:23:11 : INFO : EPOCH 1 - PROGRESS: at 10.11% examples, 9443 words/s, in_qsize 0, out_qsize 0
07-03 09:23:13 : INFO : EPOCH 1 - PROGRESS: at 10.24% examples, 9445 words/s, in_qsize 0, out_qsize 0
07-03 09:23:15 : INFO : EPOCH 1 - PROGRESS: at 10.37% examples, 9440 words/s, in_qsize 0, out_qsize 0
07-03 09:23:17 : INFO : EPOCH 1 - PROGRESS: at 10.50% examples, 9439 words/s, in_qsize 0, out_qsize 0
07-03 09:23:19 : INFO : EPOCH 1 - PROGRESS: at 10.63% examples, 9421 words/s, in_qsize 0, out_qsize 0
07-03 09:23:20 : INFO : EPOCH 1 - PROGRESS: at 10.70% examples, 9413 words/s, in_qsize 0, out_qsize 0
07-03 09:23:22 : INFO : EPOCH 1 - PROGRESS: at 10.84% examples, 9414 words/s, in_qsize 0, out_qsize 0
07-03 09:23:23 : INFO : EPOCH 1 - PROGRESS: at 10.91% examples, 9404 words/s, in_qsize 0, out_qsize 0
07-03 09:23:25 : INFO : EPOCH 1 - PROGRESS: at 11.04% examples, 9383 words/s, in_qsize 0, out_qsize 0
07-03 09:23:27 : INFO : EPOCH 1 - PROGRESS: at 11.17% examples, 9369 words/s, in_qsize 0, out_qsize 0
07-03 09:23:28 : INFO : EPOCH 1 - PROGRESS: at 11.24% examples, 9364 words/s, in_qsize 0, out_qsize 0
07-03 09:23:30 : INFO : EPOCH 1 - PROGRESS: at 11.38% examples, 9376 words/s, in_qsize 0, out_qsize 0
07-03 09:23:31 : INFO : EPOCH 1 - PROGRESS: at 11.52% examples, 9378 words/s, in_qsize 0, out_qsize 0
07-03 09:23:33 : INFO : EPOCH 1 - PROGRESS: at 11.59% examples, 9363 words/s, in_qsize 0, out_qsize 0
07-03 09:23:34 : INFO : EPOCH 1 - PROGRESS: at 11.73% examples, 9367 words/s, in_qsize 0, out_qsize 0
07-03 09:23:36 : INFO : EPOCH 1 - PROGRESS: at 11.86% examples, 9400 words/s, in_qsize 0, out_qsize 0
07-03 09:23:37 : INFO : EPOCH 1 - PROGRESS: at 11.99% examples, 9433 words/s, in_qsize 0, out_qsize 0
07-03 09:23:38 : INFO : EPOCH 1 - PROGRESS: at 12.13% examples, 9466 words/s, in_qsize 0, out_qsize 0
07-03 09:23:39 : INFO : EPOCH 1 - PROGRESS: at 12.26% examples, 9503 words/s, in_qsize 0, out_qsize 0
07-03 09:23:41 : INFO : EPOCH 1 - PROGRESS: at 12.40% examples, 9535 words/s, in_qsize 0, out_qsize 0
07-03 09:23:42 : INFO : EPOCH 1 - PROGRESS: at 12.54% examples, 9570 words/s, in_qsize 0, out_qsize 0
07-03 09:23:45 : INFO : EPOCH 1 - PROGRESS: at 12.66% examples, 9500 words/s, in_qsize 0, out_qsize 0
07-03 09:23:46 : INFO : EPOCH 1 - PROGRESS: at 12.80% examples, 9521 words/s, in_qsize 0, out_qsize 0
07-03 09:23:48 : INFO : EPOCH 1 - PROGRESS: at 12.93% examples, 9553 words/s, in_qsize 0, out_qsize 0
07-03 09:23:49 : INFO : EPOCH 1 - PROGRESS: at 13.06% examples, 9585 words/s, in_qsize 0, out_qsize 0
07-03 09:23:51 : INFO : EPOCH 1 - PROGRESS: at 13.19% examples, 9575 words/s, in_qsize 0, out_qsize 0
07-03 09:23:53 : INFO : EPOCH 1 - PROGRESS: at 13.33% examples, 9566 words/s, in_qsize 0, out_qsize 0
07-03 09:23:54 : INFO : EPOCH 1 - PROGRESS: at 13.46% examples, 9562 words/s, in_qsize 0, out_qsize 0
07-03 09:23:56 : INFO : EPOCH 1 - PROGRESS: at 13.53% examples, 9547 words/s, in_qsize 0, out_qsize 0
07-03 09:23:58 : INFO : EPOCH 1 - PROGRESS: at 13.66% examples, 9542 words/s, in_qsize 0, out_qsize 0
07-03 09:23:59 : INFO : EPOCH 1 - PROGRESS: at 13.80% examples, 9541 words/s, in_qsize 0, out_qsize 0
07-03 09:24:01 : INFO : EPOCH 1 - PROGRESS: at 13.94% examples, 9532 words/s, in_qsize 0, out_qsize 0
07-03 09:24:02 : INFO : EPOCH 1 - PROGRESS: at 14.00% examples, 9526 words/s, in_qsize 0, out_qsize 0
07-03 09:24:04 : INFO : EPOCH 1 - PROGRESS: at 14.14% examples, 9525 words/s, in_qsize 0, out_qsize 0
07-03 09:24:06 : INFO : EPOCH 1 - PROGRESS: at 14.28% examples, 9527 words/s, in_qsize 0, out_qsize 0
07-03 09:24:07 : INFO : EPOCH 1 - PROGRESS: at 14.35% examples, 9518 words/s, in_qsize 0, out_qsize 0
07-03 09:24:08 : INFO : EPOCH 1 - PROGRESS: at 14.41% examples, 9500 words/s, in_qsize 0, out_qsize 0
07-03 09:24:10 : INFO : EPOCH 1 - PROGRESS: at 14.54% examples, 9501 words/s, in_qsize 0, out_qsize 0
07-03 09:24:12 : INFO : EPOCH 1 - PROGRESS: at 14.67% examples, 9517 words/s, in_qsize 0, out_qsize 0
07-03 09:24:13 : INFO : EPOCH 1 - PROGRESS: at 14.80% examples, 9540 words/s, in_qsize 0, out_qsize 0
07-03 09:24:14 : INFO : EPOCH 1 - PROGRESS: at 14.94% examples, 9558 words/s, in_qsize 0, out_qsize 0
07-03 09:24:16 : INFO : EPOCH 1 - PROGRESS: at 15.08% examples, 9583 words/s, in_qsize 0, out_qsize 0
07-03 09:24:17 : INFO : EPOCH 1 - PROGRESS: at 15.21% examples, 9605 words/s, in_qsize 0, out_qsize 0
07-03 09:24:18 : INFO : EPOCH 1 - PROGRESS: at 15.35% examples, 9631 words/s, in_qsize 0, out_qsize 0
07-03 09:24:19 : INFO : EPOCH 1 - PROGRESS: at 15.47% examples, 9656 words/s, in_qsize 0, out_qsize 0
07-03 09:24:21 : INFO : EPOCH 1 - PROGRESS: at 15.59% examples, 9680 words/s, in_qsize 0, out_qsize 0
07-03 09:24:22 : INFO : EPOCH 1 - PROGRESS: at 15.73% examples, 9705 words/s, in_qsize 0, out_qsize 0
07-03 09:24:23 : INFO : EPOCH 1 - PROGRESS: at 15.87% examples, 9727 words/s, in_qsize 0, out_qsize 0
07-03 09:24:24 : INFO : EPOCH 1 - PROGRESS: at 16.00% examples, 9750 words/s, in_qsize 0, out_qsize 0
07-03 09:24:26 : INFO : EPOCH 1 - PROGRESS: at 16.13% examples, 9770 words/s, in_qsize 0, out_qsize 0
07-03 09:24:27 : INFO : EPOCH 1 - PROGRESS: at 16.26% examples, 9778 words/s, in_qsize 0, out_qsize 0
07-03 09:24:29 : INFO : EPOCH 1 - PROGRESS: at 16.40% examples, 9766 words/s, in_qsize 0, out_qsize 0
07-03 09:24:32 : INFO : EPOCH 1 - PROGRESS: at 16.54% examples, 9747 words/s, in_qsize 0, out_qsize 0
07-03 09:24:33 : INFO : EPOCH 1 - PROGRESS: at 16.67% examples, 9752 words/s, in_qsize 0, out_qsize 0
07-03 09:24:35 : INFO : EPOCH 1 - PROGRESS: at 16.81% examples, 9772 words/s, in_qsize 0, out_qsize 0
07-03 09:24:36 : INFO : EPOCH 1 - PROGRESS: at 16.95% examples, 9791 words/s, in_qsize 0, out_qsize 0
07-03 09:24:37 : INFO : EPOCH 1 - PROGRESS: at 17.09% examples, 9809 words/s, in_qsize 0, out_qsize 0
07-03 09:24:38 : INFO : EPOCH 1 - PROGRESS: at 17.23% examples, 9827 words/s, in_qsize 0, out_qsize 0
07-03 09:24:40 : INFO : EPOCH 1 - PROGRESS: at 17.36% examples, 9844 words/s, in_qsize 0, out_qsize 0
07-03 09:24:41 : INFO : EPOCH 1 - PROGRESS: at 17.50% examples, 9866 words/s, in_qsize 0, out_qsize 0
07-03 09:24:42 : INFO : EPOCH 1 - PROGRESS: at 17.64% examples, 9884 words/s, in_qsize 0, out_qsize 0
07-03 09:24:51 : INFO : EPOCH 1 - PROGRESS: at 17.78% examples, 9591 words/s, in_qsize 0, out_qsize 0
07-03 09:24:59 : INFO : EPOCH 1 - PROGRESS: at 17.85% examples, 9300 words/s, in_qsize 0, out_qsize 0
07-03 09:25:01 : INFO : EPOCH 1 - PROGRESS: at 17.99% examples, 9294 words/s, in_qsize 0, out_qsize 0
07-03 09:25:03 : INFO : EPOCH 1 - PROGRESS: at 18.13% examples, 9303 words/s, in_qsize 0, out_qsize 0
07-03 09:25:05 : INFO : EPOCH 1 - PROGRESS: at 18.26% examples, 9305 words/s, in_qsize 0, out_qsize 0
07-03 09:25:07 : INFO : EPOCH 1 - PROGRESS: at 18.40% examples, 9303 words/s, in_qsize 0, out_qsize 0
07-03 09:25:08 : INFO : EPOCH 1 - PROGRESS: at 18.54% examples, 9308 words/s, in_qsize 0, out_qsize 0
07-03 09:25:10 : INFO : EPOCH 1 - PROGRESS: at 18.61% examples, 9280 words/s, in_qsize 0, out_qsize 0
07-03 09:25:12 : INFO : EPOCH 1 - PROGRESS: at 18.74% examples, 9276 words/s, in_qsize 0, out_qsize 0
07-03 09:25:14 : INFO : EPOCH 1 - PROGRESS: at 18.87% examples, 9278 words/s, in_qsize 0, out_qsize 0
07-03 09:25:15 : INFO : EPOCH 1 - PROGRESS: at 19.01% examples, 9299 words/s, in_qsize 0, out_qsize 0
07-03 09:25:17 : INFO : EPOCH 1 - PROGRESS: at 19.15% examples, 9315 words/s, in_qsize 0, out_qsize 0
07-03 09:25:18 : INFO : EPOCH 1 - PROGRESS: at 19.28% examples, 9333 words/s, in_qsize 0, out_qsize 0
07-03 09:25:19 : INFO : EPOCH 1 - PROGRESS: at 19.42% examples, 9351 words/s, in_qsize 0, out_qsize 0
07-03 09:25:21 : INFO : EPOCH 1 - PROGRESS: at 19.55% examples, 9339 words/s, in_qsize 0, out_qsize 0
07-03 09:25:23 : INFO : EPOCH 1 - PROGRESS: at 19.70% examples, 9348 words/s, in_qsize 0, out_qsize 0
07-03 09:25:24 : INFO : EPOCH 1 - PROGRESS: at 19.84% examples, 9368 words/s, in_qsize 0, out_qsize 0
07-03 09:25:26 : INFO : EPOCH 1 - PROGRESS: at 19.97% examples, 9387 words/s, in_qsize 0, out_qsize 0
07-03 09:25:27 : INFO : EPOCH 1 - PROGRESS: at 20.12% examples, 9406 words/s, in_qsize 0, out_qsize 0
07-03 09:25:28 : INFO : EPOCH 1 - PROGRESS: at 20.28% examples, 9423 words/s, in_qsize 0, out_qsize 0
07-03 09:25:30 : INFO : EPOCH 1 - PROGRESS: at 20.43% examples, 9439 words/s, in_qsize 0, out_qsize 0
07-03 09:25:32 : INFO : EPOCH 1 - PROGRESS: at 20.57% examples, 9425 words/s, in_qsize 0, out_qsize 0
07-03 09:25:33 : INFO : EPOCH 1 - PROGRESS: at 20.64% examples, 9419 words/s, in_qsize 0, out_qsize 0
07-03 09:25:34 : INFO : EPOCH 1 - PROGRESS: at 20.71% examples, 9413 words/s, in_qsize 0, out_qsize 0
07-03 09:25:36 : INFO : EPOCH 1 - PROGRESS: at 20.86% examples, 9407 words/s, in_qsize 0, out_qsize 0
07-03 09:25:38 : INFO : EPOCH 1 - PROGRESS: at 21.00% examples, 9401 words/s, in_qsize 0, out_qsize 0
07-03 09:25:39 : INFO : EPOCH 1 - PROGRESS: at 21.07% examples, 9395 words/s, in_qsize 0, out_qsize 0
07-03 09:25:41 : INFO : EPOCH 1 - PROGRESS: at 21.22% examples, 9411 words/s, in_qsize 0, out_qsize 0
